,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown
Base (Equal Weight),0.21022117449843747,0.21069039289092484,0.9977729483245575,-0.2874698799026553
Sentiment-Tilted,0.21006852514706353,0.2030106555984939,1.034766005398891,-0.2806319621340808
