fund,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown
Combined Equal Weight,0.21022117449843747,0.21069039289092484,0.9977729483245575,-0.2874698799026553
Combined Min Variance,0.07013573242541593,0.13483460731219338,0.5201612095255712,-0.18512988369637395
Equity-Only Equal Weight,0.18102202955427527,0.16278358729748008,1.1120410390235793,-0.20321862626913598
Equity-Only Min Variance,0.0732972290529581,0.1348555520455143,0.5435239998737315,-0.17907853175531438
Crypto-Only Equal Weight,0.36736064691962467,0.7355294147690267,0.4994506535608565,-0.8484908847925204
Crypto-Only Min Variance,0.47225467496736884,0.6129288722156554,0.7704885450415017,-0.7366338749243748
