date,Combined Equal Weight,Combined Min Variance,Equity-Only Equal Weight,Equity-Only Min Variance,Crypto-Only Equal Weight,Crypto-Only Min Variance
2020-08-04,0.011195004613800347,0.01374441150427025,0.0127571014301756,0.012297494156441196,0.003384520531924085,-0.0017003572541766203
2020-08-05,0.007478629832450101,-0.00674020225558621,0.006154417672750271,-0.005231053665428356,0.01409969063094927,0.017581920119959935
2020-08-06,0.0008232887020804216,-0.000968733659710229,0.0006011367223255076,-0.00022030146210323903,0.001934048600854987,-0.0018745662574038639
2020-08-07,0.0012311989675126487,0.003813914009194627,0.006924233777896923,0.005490531902287364,-0.027233975084408737,-0.024713958294304977
2020-08-10,0.009964331542536294,-0.0026153253195783837,0.007544176482147308,-0.001499695797536981,0.02206510684448123,0.016614059133952388
2020-08-11,-0.016736258939307753,-0.023449191285886697,-0.00988656473463121,-0.020929637785677913,-0.05098472996269047,-0.04076833910697987
2020-08-12,0.013277769586957937,0.01329251612531458,0.013590054667924591,0.013167875908269289,0.011716344182124649,0.00954843563637611
2020-08-13,0.003817004852835204,0.005079378975072536,-0.004520563439077013,0.004343044129876893,0.045504846312396284,0.02431903998179819
2020-08-14,0.0028227204245480637,0.002402246320173457,0.001476038999435607,0.002135001342619283,0.00955612755011035,0.008538678484941574
2020-08-17,0.003947487122665475,0.01739263764084408,0.0004304665912188743,0.013523851772223344,0.021532589779898484,0.024348433262131555
2020-08-18,-0.007622017528730924,-0.0009364363493105504,-0.002845184293355533,-0.0004111624922184013,-0.03150618370560787,-0.0319672028972214
2020-08-19,-0.015488201527329248,-0.016055378753218465,-0.008138541529167135,-0.01385096238168113,-0.05223650151813981,-0.03822546411229018
2020-08-20,0.0021171582914242455,0.0036473699276085153,-0.002142348149256335,0.0028532739361071665,0.02341469049482714,0.017952070262551554
2020-08-21,-0.00955286855470018,-0.0036537814638892808,-3.630154910272369e-05,-0.0026879501078750055,-0.057135703582687464,-0.04052930875143384
2020-08-24,0.015127271946348577,0.0004402611888030593,0.014089935828598294,0.0016399696211873396,0.0203139525351,0.01029974337389035
2020-08-25,-0.010444703574958877,-0.001329200867715108,-0.0007068739856524857,-7.843544839863513e-05,-0.05913385152149083,-0.04130931444385864
2020-08-26,0.00022346716600733568,0.0042051737424659745,-0.0006888537244894091,0.004436401058636602,0.0047850716184910545,0.003957548279125571
2020-08-27,-0.002498072955373998,0.002227400355962426,0.004263427138264814,0.0037491499693477768,-0.03630557342356804,-0.03441613592260449
2020-08-28,0.012810137482369807,0.008815805272330265,0.009835855402172453,0.007766877073911837,0.027681547883356576,0.0229906885022403
2020-08-31,-0.003664474860331222,0.002650071846246026,-0.005701541941502778,0.0015401850928524997,0.006520860545526551,-0.005840885486348839
2020-09-01,0.011960755265203151,0.0008372879108816947,0.00255140172684953,0.00018837880761322142,0.059007522956971266,0.03292143326964994
2020-09-02,0.003979979263291746,0.014746617135854826,0.018497645474912658,0.01356178627098431,-0.06860835179481284,-0.05966609757992408
