date,sector,sentiment_lagged
2020-01-24,Materials,0.07594
2020-01-24,RealEstate,0.23243999999999998
2020-01-24,Tech,0.15599999999999997
2020-01-24,Utilities,-0.0843
2020-01-27,Comm,0.45308000000000004
2020-01-27,Consumer,0.36256
2020-01-27,Energy,0.40506000000000003
2020-01-27,Financials,-0.04877999999999999
2020-01-27,Healthcare,0.37552
2020-01-27,Industrials,0.18096
2020-01-27,Materials,0.29053999999999996
2020-01-27,RealEstate,0.16032000000000002
2020-01-27,Tech,0.29076
2020-01-27,Utilities,0.49261999999999995
2020-01-28,Comm,-0.09912000000000001
2020-01-28,Consumer,0.16638000000000003
2020-01-28,Energy,0.09845999999999999
2020-01-28,Financials,-0.01145999999999998
2020-01-28,Healthcare,0.7093200000000001
2020-01-28,Industrials,0.15588
2020-01-28,Materials,0.03204
2020-01-28,RealEstate,0.10212000000000002
2020-01-28,Tech,-0.49568
2020-01-28,Utilities,0.08508
2020-01-29,Comm,0.08943999999999999
2020-01-29,Consumer,0.28876
2020-01-29,Energy,0.42248
2020-01-29,Financials,0.16582000000000002
2020-01-29,Healthcare,0.11443999999999999
2020-01-29,Industrials,-0.1537
2020-01-29,Materials,0.44908000000000003
2020-01-29,RealEstate,0.15158
2020-01-29,Tech,0.17631999999999998
2020-01-29,Utilities,0.16738000000000003
2020-01-30,Comm,0.46593999999999997
2020-01-30,Consumer,-0.0032600000000000016
2020-01-30,Energy,0.036739999999999995
2020-01-30,Financials,0.2537
2020-01-30,Healthcare,0.22949999999999998
2020-01-30,Industrials,0.022520000000000005
2020-01-30,Materials,0.4373
2020-01-30,RealEstate,0.25036
2020-01-30,Tech,0.35086
2020-01-30,Utilities,0.37540000000000007
2020-01-31,Comm,0.14878
2020-01-31,Consumer,0.49291999999999997
2020-01-31,Energy,0.31167999999999996
2020-01-31,Financials,0.29328
2020-01-31,Healthcare,0.44902
2020-01-31,Industrials,0.26311999999999997
2020-01-31,Materials,-0.21788
2020-01-31,RealEstate,0.07224
2020-01-31,Tech,0.14708
2020-01-31,Utilities,0.3569
